Movie Name,Movie Link
The Martian,https://www.imdb.com/title/tt3659388/
Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/
The Revenant,https://www.imdb.com/title/tt1663202/
Dances with Wolves,https://www.imdb.com/title/tt0099348/
The Incredibles,https://www.imdb.com/title/tt0317705/
Black Swan,https://www.imdb.com/title/tt0947798/
Casino Royale,https://www.imdb.com/title/tt0381061/
The Avengers,https://www.imdb.com/title/tt0848228/
Zootopia,https://www.imdb.com/title/tt2948356/
The Imitation Game,https://www.imdb.com/title/tt2084970/
Sin City,https://www.imdb.com/title/tt0401792/
Dog Day Afternoon,https://www.imdb.com/title/tt0072890/
Soul,https://www.imdb.com/title/tt2948372/
Scent of a Woman,https://www.imdb.com/title/tt0105323/
Planet of the Apes,https://www.imdb.com/title/tt0063442/
Kill Bill: Vol. 2,https://www.imdb.com/title/tt0378194/
Magnolia,https://www.imdb.com/title/tt0175880/
The Graduate,https://www.imdb.com/title/tt0061722/
Rosemary's Baby,https://www.imdb.com/title/tt0063522/
CODA,https://www.imdb.com/title/tt10366460/
The Pursuit of Happyness,https://www.imdb.com/title/tt0454921/
12 Monkeys,https://www.imdb.com/title/tt0114746/
Aladdin,https://www.imdb.com/title/tt0103639/
JFK,https://www.imdb.com/title/tt0102138/
Beauty and the Beast,https://www.imdb.com/title/tt0101414/
Big Fish,https://www.imdb.com/title/tt0319061/
Rain Man,https://www.imdb.com/title/tt0095953/
Sling Blade,https://www.imdb.com/title/tt0117666/
Groundhog Day,https://www.imdb.com/title/tt0107048/
The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/
Slumdog Millionaire,https://www.imdb.com/title/tt1010048/
Do the Right Thing,https://www.imdb.com/title/tt0097216/
Perfect Blue,https://www.imdb.com/title/tt0156887/
Blood Diamond,https://www.imdb.com/title/tt0450259/
Lion,https://www.imdb.com/title/tt3741834/
The King's Speech,https://www.imdb.com/title/tt1504320/
Anatomy of a Murder,https://www.imdb.com/title/tt0052561/
The Invisible Guest,https://www.imdb.com/title/tt4857264/
Papillon,https://www.imdb.com/title/tt0070511/
Dogville,https://www.imdb.com/title/tt0276919/
Akira,https://www.imdb.com/title/tt0094625/
Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/
Nausicaä of the Valley of the Wind,https://www.imdb.com/title/tt0087544/
Chungking Express,https://www.imdb.com/title/tt0109424/
Life of Brian,https://www.imdb.com/title/tt0079470/
What Ever Happened to Baby Jane?,https://www.imdb.com/title/tt0056687/
Gandhi,https://www.imdb.com/title/tt0083987/
The Night of the Hunter,https://www.imdb.com/title/tt0048424/
La Dolce Vita,https://www.imdb.com/title/tt0053779/
8½,https://www.imdb.com/title/tt0056801/
The Last Picture Show,https://www.imdb.com/title/tt0067328/
Annie Hall,https://www.imdb.com/title/tt0075686/
Fiddler on the Roof,https://www.imdb.com/title/tt0067093/
Roman Holiday,https://www.imdb.com/title/tt0046250/
Ip Man,https://www.imdb.com/title/tt1220719/
A Woman Under the Influence,https://www.imdb.com/title/tt0072417/
Castle in the Sky,https://www.imdb.com/title/tt0092067/
Rio Bravo,https://www.imdb.com/title/tt0053221/
Cinderella Man,https://www.imdb.com/title/tt0352248/
The Straight Story,https://www.imdb.com/title/tt0166896/
Pink Floyd: The Wall,https://www.imdb.com/title/tt0084503/
Fitzcarraldo,https://www.imdb.com/title/tt0083946/
Who's Afraid of Virginia Woolf?,https://www.imdb.com/title/tt0061184/
The Cabinet of Dr. Caligari,https://www.imdb.com/title/tt0010323/
Le Samouraï,https://www.imdb.com/title/tt0062229/
The Celebration,https://www.imdb.com/title/tt0154420/
Elite Squad,https://www.imdb.com/title/tt0861739/
Mommy,https://www.imdb.com/title/tt3612616/
Infernal Affairs,https://www.imdb.com/title/tt0338564/
The Hustler,https://www.imdb.com/title/tt0054997/
Baahubali: The Beginning,https://www.imdb.com/title/tt2631186/
The Legend of 1900,https://www.imdb.com/title/tt0120731/
Wolfwalkers,https://www.imdb.com/title/tt5198068/
Out of the Past,https://www.imdb.com/title/tt0039689/
Touch of Evil,https://www.imdb.com/title/tt0052311/
The Tale of The Princess Kaguya,https://www.imdb.com/title/tt2576852/
A Matter of Life and Death,https://www.imdb.com/title/tt0038733/
Stalag 17,https://www.imdb.com/title/tt0046359/
Song of the Sea,https://www.imdb.com/title/tt1865505/
I Want to Eat Your Pancreas,https://www.imdb.com/title/tt7236034/
Central Station,https://www.imdb.com/title/tt0140888/
Secrets & Lies,https://www.imdb.com/title/tt0117589/
Nobody Knows,https://www.imdb.com/title/tt0408664/
Underground,https://www.imdb.com/title/tt0114787/
"Quo Vadis, Aida?",https://www.imdb.com/title/tt8633462/
My Sassy Girl,https://www.imdb.com/title/tt0293715/
Brief Encounter,https://www.imdb.com/title/tt0037558/
"Black Cat, White Cat",https://www.imdb.com/title/tt0118843/
The Sea Inside,https://www.imdb.com/title/tt0369702/
The Diving Bell and the Butterfly,https://www.imdb.com/title/tt0401383/
Sirf Ek Bandaa Kaafi Hai,https://www.imdb.com/title/tt24485052/
